"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Jan-2024","EQ","7,721.00","7,770.85","7,564.20","7,694.00","7,600.00","7,594.80","7,669.71","9,200.00","5,882.55","1,35,861","1,04,20,14,058.95","23,770"
"29-Jan-2024","EQ","7,677.00","7,744.65","7,650.05","7,667.15","7,680.00","7,694.00","7,690.98","9,200.00","5,882.55","1,00,972","77,65,74,061.70","22,219"
"25-Jan-2024","EQ","7,952.45","7,952.45","7,640.00","7,768.45","7,659.95","7,667.15","7,744.12","9,200.00","5,882.55","1,84,113","1,42,57,92,882.40","35,595"
"24-Jan-2024","EQ","8,000.00","8,150.00","7,744.10","8,195.70","7,785.00","7,768.45","7,837.69","9,200.00","5,882.55","4,00,343","3,13,77,64,236.50","66,030"
"23-Jan-2024","EQ","8,300.00","8,358.00","8,075.45","8,290.25","8,192.00","8,195.70","8,188.85","9,200.00","5,882.55","1,17,490","96,21,08,462.30","25,070"
"20-Jan-2024","EQ","8,380.00","8,388.00","8,276.90","8,307.30","8,289.00","8,290.25","8,309.83","9,200.00","5,882.55","31,365","26,06,37,827.95","7,463"
"19-Jan-2024","EQ","8,409.00","8,610.70","8,231.85","8,310.70","8,314.00","8,307.30","8,354.06","9,200.00","5,882.55","97,841","81,73,69,902.95","18,049"
"18-Jan-2024","EQ","8,550.00","8,579.95","8,033.60","8,597.80","8,315.00","8,310.70","8,261.40","9,200.00","5,882.55","3,06,055","2,52,84,41,383.40","58,752"
"17-Jan-2024","EQ","8,599.00","8,640.00","8,511.00","8,604.55","8,620.00","8,597.80","8,580.33","9,200.00","5,882.55","73,451","63,02,33,701.35","19,906"
"16-Jan-2024","EQ","8,719.90","8,730.80","8,580.30","8,716.65","8,613.00","8,604.55","8,645.13","9,200.00","5,882.55","61,082","52,80,61,979.80","15,397"
"15-Jan-2024","EQ","8,797.45","8,819.90","8,677.25","8,737.25","8,700.00","8,716.65","8,738.64","9,200.00","5,882.55","75,064","65,59,57,095.55","16,164"
"12-Jan-2024","EQ","8,799.90","8,949.00","8,712.15","8,720.80","8,728.00","8,737.25","8,817.88","9,200.00","5,882.55","1,56,840","1,38,29,95,626.70","23,435"
"11-Jan-2024","EQ","8,800.00","8,868.65","8,700.00","8,755.45","8,710.00","8,720.80","8,790.26","9,200.00","5,882.55","79,837","70,17,88,095.90","16,429"
"10-Jan-2024","EQ","8,679.00","8,800.00","8,602.30","8,643.60","8,760.00","8,755.45","8,697.99","9,200.00","5,882.55","63,726","55,42,88,373.80","11,637"
"09-Jan-2024","EQ","8,650.00","8,744.40","8,610.00","8,584.15","8,621.00","8,643.60","8,681.92","9,200.00","5,882.55","75,444","65,49,98,661.40","17,198"
"08-Jan-2024","EQ","8,647.70","8,695.00","8,565.10","8,645.85","8,588.00","8,584.15","8,601.84","9,200.00","5,882.55","43,107","37,07,99,357.00","12,268"
"05-Jan-2024","EQ","8,677.95","8,718.95","8,575.10","8,639.65","8,640.65","8,645.85","8,646.79","9,200.00","5,882.55","48,283","41,74,92,854.20","10,113"
